"UniprotAC","GeneName","DrugID","DrugName","InChI","Indication","Source"
"P62942","FKBP1A","DB08597","Dorsomorphin","InChI=1S/C24H25N5O/c1-2-12-28(13-3-1)14-15-30-22-6-4-19(5-7-22)21-16-26-24-23(17-27-29(24)18-21)20-8-10-25-11-9-20/h4-11,16-18H,1-3,12-15H2",NA,"DrugBank"
"P62942","FKBP1A","DB01951","Gpi-1046","InChI=1S/C20H28N2O4/c1-4-20(2,3)17(23)18(24)22-12-6-10-16(22)19(25)26-13-7-9-15-8-5-11-21-14-15/h5,8,11,14,16H,4,6-7,9-10,12-13H2,1-3H3/t16-/m0/s1",NA,"DrugBank"
"P62942","FKBP1A","DB08520","(21S)-1AZA-4,4-DIMETHYL-6,19-DIOXA-2,3,7,20-TETRAOXOBICYCLO[19.4.0] PENTACOSANE","InChI=1S/C24H39NO6/c1-24(2)18-31-20(26)15-10-8-6-4-3-5-7-9-13-17-30-23(29)19-14-11-12-16-25(19)22(28)21(24)27/h19H,3-18H2,1-2H3/t19-/m0/s1",NA,"DrugBank"
"P62942","FKBP1A","DB01712","(3R)-4-(p-toluenesulfonyl)-1,4-thiazane-3-carboxylicacid-L-phenylalanine ethyl ester","InChI=1S/C23H28N2O5S2/c1-3-30-23(27)20(15-18-7-5-4-6-8-18)24-22(26)21-16-31-14-13-25(21)32(28,29)19-11-9-17(2)10-12-19/h4-12,20-21H,3,13-16H2,1-2H3,(H,24,26)/t20-,21-/m0/s1",NA,"DrugBank"
"P62942","FKBP1A","DB02311","Methyl Methylsulfinylmethyl Sulfide","InChI=1S/C3H8OS2/c1-5-3-6(2)4/h3H2,1-2H3/t6-/m0/s1",NA,"DrugBank"
"P62942","FKBP1A","DB04012","(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Leucine","InChI=1S/C18H26N2O5S2/c1-12(2)10-15(18(22)23)19-17(21)16-11-26-9-8-20(16)27(24,25)14-6-4-13(3)5-7-14/h4-7,12,15-16H,8-11H2,1-3H3,(H,19,21)(H,22,23)/t15-,16-/m0/s1",NA,"DrugBank"
"P62942","FKBP1A","DB00337","Pimecrolimus","InChI=1S/C43H68ClNO11/c1-10-30-18-24(2)17-25(3)19-36(53-8)39-37(54-9)21-27(5)43(51,56-39)40(48)41(49)45-16-12-11-13-32(45)42(50)55-38(28(6)33(46)23-34(30)47)26(4)20-29-14-15-31(44)35(22-29)52-7/h18,20,25,27-33,35-39,46,51H,10-17,19,21-23H2,1-9H3/b24-18+,26-20+/t25-,27+,28+,29-,30+,31-,32-,33-,35+,36-,37-,38+,39+,43+/m0/s1","For treatment of mild to moderate atopic dermatitis.","DrugBank"
"P62942","FKBP1A","DB03338","Heptyl glucoside","InChI=1S/C13H26O6/c1-2-3-4-5-6-7-18-13-12(17)11(16)10(15)9(8-14)19-13/h9-17H,2-8H2,1H3/t9-,10-,11+,12-,13-/m1/s1",NA,"DrugBank"
"P62942","FKBP1A","DB04094","4-hydroxybutan-2-one","InChI=1S/C4H8O2/c1-4(6)2-3-5/h5H,2-3H2,1H3",NA,"DrugBank"
"P02751","FN1","DB14548","Zinc sulfate, unspecified form",NA,"Zinc sulfate is a common zinc supplement in parenteral nutrition.[A216916,L12888]","DrugBank"
"P02751","FN1","DB01593","Zinc","InChI=1S/Zn","Zinc can be used for the treatment and prevention of zinc deficiency/its consequences, including stunted growth and acute diarrhea in children, and slowed wound healing. It is also utilized for boosting the immune system, treating the common cold and recurrent ear infections, as well as preventing lower respiratory tract infections [L2172].  
","DrugBank"
"P02751","FN1","DB14487","Zinc acetate","InChI=1S/2C2H4O2.Zn/c2*1-2(3)4;/h2*1H3,(H,3,4);/q;;+2/p-2","Zinc can be used for the treatment and prevention of zinc deficiency/its consequences, including stunted growth and acute diarrhea in children, and slowed wound healing. It is also utilized for boosting the immune system, treating the common cold and recurrent ear infections, as well as preventing lower respiratory tract infections [L2172].  
","DrugBank"
"P02751","FN1","DB14533","Zinc chloride","InChI=1S/2ClH.Zn/h2*1H;/q;;+2/p-2","Zinc chloride injections are indicated for use total parenteral nutrition to maintain zinc serum levels and prevent deficiency syndromes.[L14189]","DrugBank"
"P02751","FN1","DB06245","Lanoteplase",NA,"Investigated for use/treatment in myocardial infarction.","DrugBank"
"P02751","FN1","DB08888","Ocriplasmin",NA,"Ocriplasmin is a proteolytic enzyme indicated for the treatment for symptomatic vitreomacular adhesion. ","DrugBank"
"P42685","FRK","DB01254","Dasatinib","InChI=1S/C22H26ClN7O2S/c1-14-4-3-5-16(23)20(14)28-21(32)17-13-24-22(33-17)27-18-12-19(26-15(2)25-18)30-8-6-29(7-9-30)10-11-31/h3-5,12-13,31H,6-11H2,1-2H3,(H,28,32)(H,24,25,26,27)","For the treatment of adults with chronic, accelerated, or myeloid or lymphoid blast phase chronic myeloid leukemia with resistance or intolerance to prior therapy. Also indicated for the treatment of adults with Philadelphia chromosome-positive acute lymphoblastic leukemia with resistance or intolerance to prior therapy.","DrugBank"
"P42685","FRK","DB15035","Zanubrutinib","InChI=1S/C27H29N5O3/c1-2-23(33)31-16-13-18(14-17-31)22-12-15-29-27-24(26(28)34)25(30-32(22)27)19-8-10-21(11-9-19)35-20-6-4-3-5-7-20/h2-11,18,22,29H,1,12-17H2,(H2,28,34)/t22-/m0/s1","Zanubrutinib is indicated for the treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy.[L10163, L40788]
It is used to treat Waldenstr?m¡¯s macroglobulinemia in adults.[L10163, L40788]
Zanubrutinib is also indicated for the treatment of relapsed or refractory marginal zone lymphoma (MZL) in adults who have received at least one anti-CD20-based regimen.[L10163, L40788]","DrugBank"
"P42685","FRK","DB08896","Regorafenib","InChI=1S/C21H15ClF4N4O3/c1-27-19(31)18-10-13(6-7-28-18)33-12-3-5-17(16(23)9-12)30-20(32)29-11-2-4-15(22)14(8-11)21(24,25)26/h2-10H,1H3,(H,27,31)(H2,29,30,32)","Regorafenib is indicated for the treatment of patients with metastatic colorectal cancer (CRC) who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF therapy, and, if KRAS wild type, an anti-EGFR therapy. Regorafenib is also indicated for the treatment of patients with locally advanced, unresectable or metastatic gastrointestinal stromal tumour (GIST) who have been previously treated with imatinib mesylate and sunitinib malate. Regorafenib is also indicated for the treatment of patients with hepatocellular carcinoma (HCC) previously treated with sorafenib.[L16835]","DrugBank"
"P42685","FRK","DB12010","Fostamatinib","InChI=1S/C23H26FN6O9P/c1-23(2)21(31)30(11-38-40(32,33)34)20-14(39-23)6-7-17(28-20)27-19-13(24)10-25-22(29-19)26-12-8-15(35-3)18(37-5)16(9-12)36-4/h6-10H,11H2,1-5H3,(H2,32,33,34)(H2,25,26,27,28,29)","Fostamatinib is indicated for use in the treatment of chronic immune thrombocytopenia (ITP) in patients who have had insufficient response to previous therapy [FDA Label].","DrugBank"
"O95954","FTCD","DB00116","Tetrahydrofolic acid","InChI=1S/C19H23N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,11-12,21,23H,5-8H2,(H,24,29)(H,27,28)(H,31,32)(H4,20,22,25,26,30)/t11?,12-/m0/s1","For nutritional supplementation, also for treating dietary shortage or imbalance.","DrugBank"
"O95954","FTCD","DB03256","(6R)-Folinic acid","InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)27(9-28)12(8-23-16)7-22-11-3-1-10(2-4-11)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,12-13,22H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,23,25,26,32)/t12-,13+/m1/s1",NA,"DrugBank"
"O95954","FTCD","DB00142","Glutamic acid","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","Considered to be nature's ""Brain food"" by improving mental capacities; helps speed the healing of ulcers; gives a ""lift"" from fatigue; helps control alcoholism, schizophrenia and the craving for sugar.","DrugBank"
"P02794","FTH1","DB01592","Iron","InChI=1S/Fe","Used in preventing and treating iron-deficiency anemia.","DrugBank"
"P02794","FTH1","DB14491","Ferrous fumarate","InChI=1S/C4H4O4.Fe/c5-3(6)1-2-4(7)8;/h1-2H,(H,5,6)(H,7,8);/q;+2/p-2/b2-1+;","Used in preventing and treating iron-deficiency anemia.","DrugBank"
"P02794","FTH1","DB14489","Ferrous succinate","InChI=1S/C4H6O4.Fe/c5-3(6)1-2-4(7)8;/h1-2H2,(H,5,6)(H,7,8);/q;+2/p-2","Used in preventing and treating iron-deficiency anemia.","DrugBank"
"P02794","FTH1","DB13995","Ferric pyrophosphate citrate","InChI=1S/3C6H8O7.4Fe.3H4O7P2/c3*7-3(8)1-6(13,5(11)12)2-4(9)10;;;;;3*1-8(2,3)7-9(4,5)6/h3*13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);;;;;3*(H2,1,2,3)(H2,4,5,6)/q;;;4*+3;;;/p-12","Ferric pyrophosphate citrate is indicated for the treatment of iron loss or iron deficiency to maintain hemoglobin and to reduce the prescribed dose of erythropoiesis-stimulating agent (ESA) required to maintain desired hemoglobin levels.[L1423] 
Iron deficiency appears when the dietary intake does not meet the body's requirement or when there is chronic external blood loss. During acute blood loss, body iron stores are sufficient for accelerated erythropoiesis and restoration of iron homeostasis. But when the altered homeostasis remains for weeks to months then some supplement is needed. Some causes of iron deficiency include ectoparasitism, endoparasitism, hematuria, epistaxis, hemorrhagic skin, coagulopathy, thrombocytopenia, thrombocytopathia and gastrointestinal hemorrhage.[A31984]","DrugBank"
"P02794","FTH1","DB14488","Ferrous gluconate","InChI=1S/2C6H12O7.Fe/c2*7-1-2(8)3(9)4(10)5(11)6(12)13;/h2*2-5,7-11H,1H2,(H,12,13);/q;;+2/p-2/t2*2-,3-,4+,5-;/m11./s1","Used in preventing and treating iron-deficiency anemia.","DrugBank"
"P02794","FTH1","DB14490","Ferrous ascorbate","InChI=1S/2C6H8O6.Fe/c2*7-1-2(8)5-3(9)4(10)6(11)12-5;/h2*2,5,7-10H,1H2;/q;;+2/p-2/t2*2-,5+;/m00./s1","Used in preventing and treating iron-deficiency anemia.","DrugBank"
"P02794","FTH1","DB00893","Iron Dextran",NA,"For treatment of patients with documented iron deficiency in whom oral administration is unsatisfactory or impossible. Also used to replenish body iron stores in Non-Dialysis Dependent-Chronic Kidney Disease (NDD-CKD) patients receiving or not receiving erythropoietin and in Hemodialysis Dependent (HDD-CKD) and Peritoneal Dialysis Dependent (PDD-CKD) - Chronic Kidney Disease patients receiving an erythropoietin.","DrugBank"
"P02794","FTH1","DB14501","Ferrous glycine sulfate","InChI=1S/2C2H5NO2.Fe.H2O4S/c2*3-1-2(4)5;;1-5(2,3)4/h2*1,3H2,(H,4,5);;(H2,1,2,3,4)/q;;+2;/p-2","Used in preventing and treating iron-deficiency anemia.","DrugBank"
"P02792","FTL","DB09517","Sodium ferric gluconate complex","InChI=1S/5C12H22O11.C6H12O7.2Fe.Na.3O/c5*13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12;7-1-2(8)3(9)4(10)5(11)6(12)13;;;;;;/h5*4-11,13-20H,1-3H2;2-5,7-11H,1H2,(H,12,13);;;;;;/q;;;;;;2*+3;+1;3*-2/p-1/t5*4-,5-,6-,7-,8+,9-,10+,11-,12+;2-,3-,4+,5-;;;;;;/m111111....../s1","Sodium ferric gluconate complex in sucrose injection is used to deplete the total body content of iron during iron deficiency anemia in patients aged 6 years and older with chronic kidney disease receiving hemodialysis and receiving supplemental epoetin therapy.[L666]","DrugBank"
"P02792","FTL","DB00893","Iron Dextran",NA,"For treatment of patients with documented iron deficiency in whom oral administration is unsatisfactory or impossible. Also used to replenish body iron stores in Non-Dialysis Dependent-Chronic Kidney Disease (NDD-CKD) patients receiving or not receiving erythropoietin and in Hemodialysis Dependent (HDD-CKD) and Peritoneal Dialysis Dependent (PDD-CKD) - Chronic Kidney Disease patients receiving an erythropoietin.","DrugBank"
"P02792","FTL","DB13995","Ferric pyrophosphate citrate","InChI=1S/3C6H8O7.4Fe.3H4O7P2/c3*7-3(8)1-6(13,5(11)12)2-4(9)10;;;;;3*1-8(2,3)7-9(4,5)6/h3*13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);;;;;3*(H2,1,2,3)(H2,4,5,6)/q;;;4*+3;;;/p-12","Ferric pyrophosphate citrate is indicated for the treatment of iron loss or iron deficiency to maintain hemoglobin and to reduce the prescribed dose of erythropoiesis-stimulating agent (ESA) required to maintain desired hemoglobin levels.[L1423] 
Iron deficiency appears when the dietary intake does not meet the body's requirement or when there is chronic external blood loss. During acute blood loss, body iron stores are sufficient for accelerated erythropoiesis and restoration of iron homeostasis. But when the altered homeostasis remains for weeks to months then some supplement is needed. Some causes of iron deficiency include ectoparasitism, endoparasitism, hematuria, epistaxis, hemorrhagic skin, coagulopathy, thrombocytopenia, thrombocytopathia and gastrointestinal hemorrhage.[A31984]","DrugBank"
"P02792","FTL","DB02285","Protoporphyrin","InChI=1S/C34H34N4O4/c1-7-21-17(3)25-13-26-19(5)23(9-11-33(39)40)31(37-26)16-32-24(10-12-34(41)42)20(6)28(38-32)15-30-22(8-2)18(4)27(36-30)14-29(21)35-25/h7-8,13-16,35,38H,1-2,9-12H2,3-6H3,(H,39,40)(H,41,42)/b25-13-,26-13-,27-14-,28-15-,29-14-,30-15-,31-16-,32-16-",NA,"DrugBank"
"P02792","FTL","DB09147","Ferric pyrophosphate","InChI=1S/4Fe.3H4O7P2/c;;;;3*1-8(2,3)7-9(4,5)6/h;;;;3*(H2,1,2,3)(H2,4,5,6)/q4*+3;;;/p-12","Ferric pyrophosphate is intended to be indicated for the treatment of iron loss or iron deficiency as a formulation with a milder gastrointestinal effect.[L1423, L1433] 
Iron deficiency appears when the dietary intake does not meet the body's requirement or when there is chronic external blood loss. During acute blood loss, body iron stores are sufficient for accelerated erythropoiesis and restoration of iron homeostasis. But when the altered homeostasis remains for weeks to months then some supplement is needed. Some causes of iron deficiency include ectoparasitism, endoparasitism, hematuria, epistaxis, hemorrhagic skin, coagulopathy, thrombocytopenia, thrombocytopathia and gastrointestinal hemorrhage.[A31984]","DrugBank"
"Q96AE4","FUBP1","DB05786","Irofulven","InChI=1S/C15H18O3/c1-8-6-10-12(11(8)7-16)9(2)15(4-5-15)14(3,18)13(10)17/h6,16,18H,4-5,7H2,1-3H3/t14-/m0/s1","Investigated for use/treatment in brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, pediatric indications, prostate cancer, and sarcoma.","DrugBank"
"Q96AE4","FUBP1","DB12893","Sacituzumab govitecan",NA,"Sacituzumab govitecan is indicated for adult patients with metastatic triple-negative breast cancer (mTNBC) who have undergone two or more prior therapies for metastatic disease.[L13002]
Sacituzumab govitecan is also indicated for the treatment of locally advanced or metastatic urothelial cancer in adult patients who have received previous platinum-based therapy and either a programmed death receptor-1 (PD-1) or programmed death-ligand 1 (PD-L1) inhibitor. This indication has been approved under accelerated approval, and continued approval may be contingent on the demonstration of clinical benefit in confirmatory trials.[L13002]","DrugBank"
"P11413","G6PD","DB03085","Glycolic acid","InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)",NA,"DrugBank"
"P11413","G6PD","DB03461","Nicotinamide adenine dinucleotide phosphate","InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",NA,"DrugBank"
"P11413","G6PD","DB05107","16-Bromoepiandrosterone","InChI=1S/C19H29BrO2/c1-18-7-5-12(21)9-11(18)3-4-13-14(18)6-8-19(2)15(13)10-16(20)17(19)22/h11-16,21H,3-10H2,1-2H3/t11-,12-,13+,14-,15-,16+,18-,19-/m0/s1","Investigated for use/treatment in cystic fibrosis, HIV infection, hepatitis (viral, B), and malaria.","DrugBank"
"P11413","G6PD","DB11638","Artenimol","InChI=1S/C15H24O5/c1-8-4-5-11-9(2)12(16)17-13-15(11)10(8)6-7-14(3,18-13)19-20-15/h8-13,16H,4-7H2,1-3H3/t8-,9-,10+,11+,12?,13-,14-,15-/m1/s1","For the treatment of uncomplicated *Plasmodium falciparum* infection in adults, children, and infants aged 6 months and up weighing over 5 kg [FDA Label]. Used in combination with [DB13941].","DrugBank"
"O14976","GAK","DB12010","Fostamatinib","InChI=1S/C23H26FN6O9P/c1-23(2)21(31)30(11-38-40(32,33)34)20-14(39-23)6-7-17(28-20)27-19-13(24)10-25-22(29-19)26-12-8-15(35-3)18(37-5)16(9-12)36-4/h6-10H,11H2,1-5H3,(H2,32,33,34)(H2,25,26,27,28,29)","Fostamatinib is indicated for use in the treatment of chronic immune thrombocytopenia (ITP) in patients who have had insufficient response to previous therapy [FDA Label].","DrugBank"
"Q14353","GAMT","DB00148","Creatine","InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)","For nutritional supplementation, also for treating dietary shortage or imbalance.","DrugBank"
"Q14353","GAMT","DB13191","Phosphocreatine","InChI=1S/C4H10N3O5P/c1-7(2-3(8)9)4(5)6-13(10,11)12/h2H2,1H3,(H,8,9)(H4,5,6,10,11,12)","Phosphocreatine is a naturally occuring substance that is found predominantly in the skeletal muscles of vertebrates. Its primary utility within the body is to serve in the maintanence and recycling of adenosine triphosphate (ATP) for muscular activity like contractions.
Given this utility of phosphocreatine to recycle ATP, the most plausible therapeutic potentials for its use involve conditions caused by energy shortage or by increased energy requirements - such as in ischemic stroke and other cerebrovascular diseases. It is important to note however that relatively little clinical research has been done to significantly further the evidence for any such indications, although it is administered intravenously for cardiovascular conditions in some countries.
Additionally, because phosphocreatine is not regulated as a controlled substance it is taken as a supplement by some professional athletes as a means to perhaps increase short bursts of muscle strength or energy for professional athletics. ","DrugBank"
"Q14353","GAMT","DB02751","Glycocyamine","InChI=1S/C3H7N3O2/c4-3(5)6-1-2(7)8/h1H2,(H,7,8)(H4,4,5,6)",NA,"DrugBank"
"Q14353","GAMT","DB01752","S-adenosyl-L-homocysteine","InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1",NA,"DrugBank"
"Q14353","GAMT","DB00536","Guanidine","InChI=1S/CH5N3/c2-1(3)4/h(H5,2,3,4)","For the reduction of the symptoms of muscle weakness and easy fatigability associated with the myasthenic syndrome of Eaton-Lambert. It is not indicated for treating myasthenia gravis.","DrugBank"
"P41250","GARS","DB00145","Glycine","InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)","Supplemental glycine may have antispastic activity. Very early findings suggest it may also have antipsychotic activity as well as antioxidant and anti-inflammatory activities.","DrugBank"
"P04062","GBA","DB03106","scyllo-inositol","InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3+,4+,5-,6-",NA,"DrugBank"
"P04062","GBA","DB03740","N-acetyl-alpha-D-glucosamine","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8+/m1/s1",NA,"DrugBank"
"P04062","GBA","DB08283","(2R,3R,4R,5S)-2-(HYDROXYMETHYL)-1-NONYLPIPERIDINE-3,4,5-TRIOL","InChI=1S/C15H31NO4/c1-2-3-4-5-6-7-8-9-16-10-13(18)15(20)14(19)12(16)11-17/h12-15,17-20H,2-11H2,1H3/t12-,13+,14-,15-/m1/s1",NA,"DrugBank"
"P04062","GBA","DB06720","Velaglucerase alfa",NA,"Velaglucerase alfa is a hydrolytic lysosomal glucocerebroside-specific enzyme indicated for long-term enzyme replacement therapy for pediatric and adult patients with type 1 Gaucher disease.","DrugBank"
"O75600","GCAT","DB00145","Glycine","InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)","Supplemental glycine may have antispastic activity. Very early findings suggest it may also have antipsychotic activity as well as antioxidant and anti-inflammatory activities.","DrugBank"
"O75600","GCAT","DB00114","Pyridoxal phosphate","InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)","For nutritional supplementation and for treating dietary shortage or imbalance.","DrugBank"
"Q92947","GCDH","DB03245","S-4-Nitrobutyryl-CoA","InChI=1S/C25H41N8O19P3S/c1-25(2,20(37)23(38)28-6-5-15(34)27-7-9-56-16(35)4-3-8-33(39)40)11-49-55(46,47)52-54(44,45)48-10-14-19(51-53(41,42)43)18(36)24(50-14)32-13-31-17-21(26)29-12-30-22(17)32/h12-14,18-20,24,36-37H,3-11H2,1-2H3,(H,27,34)(H,28,38)(H,44,45)(H,46,47)(H2,26,29,30)(H2,41,42,43)/t14-,18-,19-,20+,24-/m1/s1",NA,"DrugBank"
"Q92947","GCDH","DB03147","Flavin adenine dinucleotide","InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1","Used to treat eye diseases caused by vitamin B2 deficiency, such as keratitis and blepharitis.","DrugBank"
"P23434","GCSH","DB03760","Dihydrolipoic Acid","InChI=1S/C8H16O2S2/c9-8(10)4-2-1-3-7(12)5-6-11/h7,11-12H,1-6H2,(H,9,10)/t7-/m1/s1",NA,"DrugBank"
"P23434","GCSH","DB03187","6-(Hydroxyethyldithio)-8-(Aminomethylthio)Octanoic Acid","InChI=1S/C11H23NO3S3/c12-9-16-7-5-10(18-17-8-6-13)3-1-2-4-11(14)15/h10,13H,1-9,12H2,(H,14,15)/t10-/m0/s1",NA,"DrugBank"
"P23378","GLDC","DB00114","Pyridoxal phosphate","InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)","For nutritional supplementation and for treating dietary shortage or imbalance.","DrugBank"
"O94925","GLS","DB00142","Glutamic acid","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","Considered to be nature's ""Brain food"" by improving mental capacities; helps speed the healing of ulcers; gives a ""lift"" from fatigue; helps control alcoholism, schizophrenia and the craving for sugar.","DrugBank"
"Q9UI32","GLS2","DB00142","Glutamic acid","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","Considered to be nature's ""Brain food"" by improving mental capacities; helps speed the healing of ulcers; gives a ""lift"" from fatigue; helps control alcoholism, schizophrenia and the craving for sugar.","DrugBank"
"P00367","GLUD1","DB04137","Guanosine-5'-Triphosphate","InChI=1S/C10H16N5O14P3/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(27-9)1-26-31(22,23)29-32(24,25)28-30(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H,24,25)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1",NA,"DrugBank"
"P00367","GLUD1","DB00142","Glutamic acid","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","Considered to be nature's ""Brain food"" by improving mental capacities; helps speed the healing of ulcers; gives a ""lift"" from fatigue; helps control alcoholism, schizophrenia and the craving for sugar.","DrugBank"
"P00367","GLUD1","DB00756","Hexachlorophene","InChI=1S/C13H6Cl6O2/c14-6-2-8(16)12(20)4(10(6)18)1-5-11(19)7(15)3-9(17)13(5)21/h2-3,20-21H,1H2","For use as a surgical scrub and a bacteriostatic skin cleanser. It may also be used to control an outbreak of gram-positive infection where other infection control procedures have been unsuccessful.","DrugBank"
"P00367","GLUD1","DB11081","Aluminum chloride","InChI=1S/Al.3ClH/h;3*1H/q+3;;;/p-3","- Indicated for the control of minor hemorrhage during dental restorative procedures.
- Indicated to reduce underarm perspiration.","DrugBank"
"P00367","GLUD1","DB00157","NADH","InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1","Some evidence suggests that NADH might be useful in treating Parkinson's disease, chronic fatigue syndrome, Alzheimer's disease and cardiovascular disease.","DrugBank"
"P49448","GLUD2","DB00157","NADH","InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1","Some evidence suggests that NADH might be useful in treating Parkinson's disease, chronic fatigue syndrome, Alzheimer's disease and cardiovascular disease.","DrugBank"
"P49448","GLUD2","DB00142","Glutamic acid","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","Considered to be nature's ""Brain food"" by improving mental capacities; helps speed the healing of ulcers; gives a ""lift"" from fatigue; helps control alcoholism, schizophrenia and the craving for sugar.","DrugBank"
"Q6IB77","GLYAT","DB00145","Glycine","InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)","Supplemental glycine may have antispastic activity. Very early findings suggest it may also have antipsychotic activity as well as antioxidant and anti-inflammatory activities.","DrugBank"
"Q969I3","GLYATL1","DB00145","Glycine","InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)","Supplemental glycine may have antispastic activity. Very early findings suggest it may also have antipsychotic activity as well as antioxidant and anti-inflammatory activities.","DrugBank"
"P17900","GM2A","DB04660","Choline alfoscerate","InChI=1S/C8H20NO6P/c1-9(2,3)4-5-14-16(12,13)15-7-8(11)6-10/h8,10-11H,4-7H2,1-3H3/t8-/m1/s1",NA,"DrugBank"
"P17900","GM2A","DB03633","Lpc-Ether","InChI=1S/C26H56NO6P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-22-31-24-26(28)25-33-34(29,30)32-23-21-27(2,3)4/h26,28H,5-25H2,1-4H3/p+1/t26-/m1/s1",NA,"DrugBank"
"P17900","GM2A","DB08231","Myristic acid","InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)",NA,"DrugBank"
